Venue,Latitude,Longitude,Venue Category
Hearty's II Chinese Restaurant,38.95086325982071,-76.96751559233485,Chinese Restaurant
Red Maple Asian Bistro,38.992598,-77.049224,Chinese Restaurant
Grand China,38.94545462489216,-76.96930673282966,Chinese Restaurant
China Sub Shop,38.971575,-76.978175,Chinese Restaurant
International Buffet,38.985520834207634,-76.98246800728056,Chinese Restaurant
Wah Lock,38.96877645,-76.99935838333333,Chinese Restaurant
Eastern Carry Out,38.997834000000005,-77.000966,Chinese Restaurant
Fortune Express,38.94795,-77.033049,Chinese Restaurant
Kenny's Chinese Carry-out,38.984451,-76.97827099999999,Chinese Restaurant
SPRING GARDEN ASIAN RESTAURANT,39.009046000000005,-77.04083100000001,Chinese Restaurant
China Sea,38.968742,-77.027725,Chinese Restaurant
Sing Long Carryout,38.953354145814494,-77.02763473337,Chinese Restaurant
Dragon City,38.990088622380625,-77.02659447382777,Chinese Restaurant
City Taste,38.994629,-77.02547,Chinese Restaurant
China Golden,39.003769,-76.970206,Chinese Restaurant
mandarin express,38.96804973006656,-76.95731562082922,Chinese Restaurant
Mandarin Restaurant,38.993829,-77.026358,Chinese Restaurant
Johnny's Carryout,38.956656,-77.020086,Chinese Restaurant
Panda China,38.983000268321405,-76.97963855260795,Chinese Restaurant
twin. dragon,38.956768,-77.016963,Chinese Restaurant
Mayflower,39.009046000000005,-77.04083100000001,Chinese Restaurant
Golden China,38.983459280233326,-77.02653262027613,Chinese Restaurant
Peter's Sub Shop,38.982652,-77.00704499999999,Chinese Restaurant
Q By Peter Chang,38.98478492999082,-77.09123944917366,Chinese Restaurant
Meiwah,38.962199354892846,-77.08812206983566,Chinese Restaurant
Shanghai Village,38.98092472412442,-77.09953455448475,Chinese Restaurant
P.F. Chang's,38.961298,-77.0867695,Chinese Restaurant
Foong Lin Restaurant,38.98124095867094,-77.09208081377128,Chinese Restaurant
Panda Express,38.99807572921642,-77.09440064003343,Chinese Restaurant
Mayflower Chinese Restaurant,38.989297568629006,-77.09785685019509,Chinese Restaurant
Golden House Chinese Food Carry Out,38.991029838198216,-77.09592010719639,Chinese Restaurant
Fahrenheit,38.939421,-77.178777,Asian Restaurant
Hunan Kitchen,38.965983,-77.10464715957642,Chinese Restaurant
Wang Dynasty,38.981066999999996,-77.09995500000001,Chinese Restaurant
City Lights Of China,38.981066999999996,-77.09995500000001,Chinese Restaurant
North China Restaurant,38.98768621098774,-77.09924095070308,Chinese Restaurant
Spring Garden,38.95408598000214,-77.08266913890839,Chinese Restaurant
Chinese Express,38.986441,-77.09429399999999,Chinese Restaurant
China Cafe,38.96447142632353,-77.10774150891363,Chinese Restaurant
Chinese Express Carryout,38.98499016746526,-77.09202340447631,Chinese Restaurant
Fortune Garden,39.01736910888355,-77.21048171222705,Chinese Restaurant
Chopsticks,38.958070700286314,-77.37297408211064,Asian Restaurant
Big Bowl,38.95789982289198,-77.35838682988225,Chinese Restaurant
Lakeside Asia Cafe,38.93930329285013,-77.33036330137152,Chinese Restaurant
Hunan Cafe,38.96190565177482,-77.4007490783295,Chinese Restaurant
Golden King,39.0127461763669,-77.37268614062317,Asian Restaurant
Madras Chopsticks,38.950506235758,-77.40968687741822,Chinese Restaurant
King's Buffet,39.00868948915442,-77.41718291084834,Chinese Restaurant
Pei Wei,39.005792,-77.438581,Chinese Restaurant
China King,38.950798201382284,-77.40725713036383,Chinese Restaurant
Hula Inn,38.976996578285586,-77.40905012256096,Chinese Restaurant
Great China,38.978242071941075,-77.35016896143722,Chinese Restaurant
Royal Buffet,38.97008731500367,-77.3760807162755,Chinese Restaurant
Chens Kitchen,38.959472,-77.37785500000001,Chinese Restaurant
Nikko Sushi & Hibachi,38.9532896535715,-77.34998719525855,Japanese Restaurant
Hunan Herndon,38.96797894020155,-77.36800657973573,Chinese Restaurant
Mandarin,38.968289,-77.355355,Chinese Restaurant
Chop Stick house,39.018412,-77.37656,Chinese Restaurant
China Village,38.966786,-77.397816,Chinese Restaurant
China Star,38.948551,-77.334082,Chinese Restaurant
Chinaway,38.997738,-77.403334,Chinese Restaurant
King Wok,39.015879999999996,-77.377397,Chinese Restaurant
Wu's Cafe Chinese Restaurant,39.01943613739597,-77.37857796128773,Chinese Restaurant
Oriental Express,39.005117999999996,-77.42695,Chinese Restaurant
Golden King Restaurant,39.014405,-77.372196,Chinese Restaurant
China Way,38.997772,-77.403336,Chinese Restaurant
Market Fresh Food Court,38.978465777137316,-77.43604101590823,Food Court
Royal Golden,38.964749,-77.396423,Chinese Restaurant
Charlie Chiang's,38.95280116414379,-77.36115208529837,Chinese Restaurant
China King,38.95820174740079,-77.37346886801141,Chinese Restaurant
House of Chang III,38.89853500549197,-76.79063905221267,Chinese Restaurant
China Chef,38.901009,-76.795292,Chinese Restaurant
Panda Express,38.899616824743404,-76.72920227050781,Chinese Restaurant
Beijing Cafe,38.90828571366662,-76.71954817290705,Chinese Restaurant
Panda Express,38.900806,-76.776384,Chinese Restaurant
Eddy's Carry Out,38.90600694227442,-76.82882206733828,Chinese Restaurant
Panda Express,38.907774,-76.772989,Chinese Restaurant
Church King Buffet,38.89806,-76.825062,Dumpling Restaurant
Hunan China,38.879775835647834,-76.82814997465262,Chinese Restaurant
Peter's carryout,38.889003224710166,-76.80767165480438,Chinese Restaurant
Wegmans Market Cafe,38.92132872112933,-76.84988234880875,Food Court
Landover Carryout,38.932494,-76.90053499999999,Chinese Restaurant
Panda Express,38.88985409431762,-76.85309434815052,Chinese Restaurant
Panda Express,38.920584999999996,-76.952664,Chinese Restaurant
Panda Express,38.86791,-76.850024,Chinese Restaurant
Kenny's Subs Shop,38.92165816475119,-76.8465773816369,Chinese Restaurant
Panda Express,38.9023222338252,-76.84521276659694,Chinese Restaurant
Far East,38.897183,-76.90639399999999,Chinese Restaurant
Oriental Express,38.86604859943795,-76.91620893333128,Chinese Restaurant
Eddie's Carryout,38.873391999999996,-76.92915699999999,Chinese Restaurant
China Sky,38.887352,-76.899875,Chinese Restaurant
China express,38.934554,-76.950802,Chinese Restaurant
China Dragon,38.926134999999995,-76.885837,Chinese Restaurant
China Sky Carryout and Restaurant,38.887805,-76.900662,Chinese Restaurant
Mainland 2,38.91498469975527,-76.88280699738048,Chinese Restaurant
New China,38.866083,-76.94310300000001,Chinese Restaurant
China Cafe,38.897727727890015,-76.92600667476654,Chinese Restaurant
Benny's Chinese Restaurant,38.888546999999996,-76.848575,Chinese Restaurant
Shin Shin,38.855849,-76.900974,Chinese Restaurant
Chinese Continental Carry Out,38.912157,-76.93352900000001,Chinese Restaurant
Far East Carry-Out,38.897306,-76.9061603,Chinese Restaurant
China Chef Enterprises,38.89737,-76.905464,Chinese Restaurant
China Restaurant,38.916477403497204,-76.85769611057957,Chinese Restaurant
The Golden Bowl,38.900615812963395,-76.83628978139414,Chinese Restaurant
Kenny's Chinese Restaurant,38.92065492140551,-76.84629678726196,Chinese Restaurant
Jerry's,38.894808000000005,-76.910675,Chinese Restaurant
Capitol Szechuan Carryout,38.889334999999996,-76.925637,Chinese Restaurant
Bally's Carry Out,38.884056428670675,-76.92184257487794,Chinese Restaurant
Mama Son's,38.89828067273298,-76.90480578689423,Chinese Restaurant
