Venue,Latitude,Longitude,Venue Category
Shell,38.997678002065555,-77.28799431508709,Convenience Store
Spring Hill Carry-out,38.95301,-77.226186,Convenience Store
7-Eleven,38.9526102470661,-77.2253264486789,Convenience Store
APlus at Sunoco,38.97765641362672,-77.31605583405295,Convenience Store
7-Eleven,38.9670855,-77.3675245,Convenience Store
Walgreens,38.96859762871031,-77.3814095556736,Convenience Store
Dollar Tree,38.97035255551951,-77.3823618894196,Discount Store
Dollar Tree,38.997376523860694,-77.40702914407538,Discount Store
7-Eleven,38.9603891,-77.402831,Convenience Store
Circle K,38.9515380859375,-77.33602142333984,Convenience Store
Shell,38.96462171,-77.3974774,Convenience Store
7-Eleven,39.0090885454293,-77.41708964109415,Convenience Store
Shell,38.98507865462777,-77.4293725241208,Convenience Store
Dulles Gourmet Market,38.945343450891464,-77.44881406182536,Convenience Store
Shell,39.00010159853461,-77.40184518196081,Convenience Store
7-Eleven,39.0144780815962,-77.3727339506149,Convenience Store
7-Eleven,39.0074732718904,-77.4135933816432,Convenience Store
APlus at Sunoco,38.94815984761896,-77.41236549220821,Convenience Store
7-Eleven,38.9647687441919,-77.3970293998718,Convenience Store
7-Eleven,38.9988680087891,-77.3436104679558,Convenience Store
7-Eleven,38.9764531,-77.4098551,Convenience Store
7-Eleven,38.94787248116425,-77.3569470601205,Convenience Store
Shell,39.01670143242665,-77.37476265530414,Convenience Store
7-Eleven,38.9494366,-77.410676,Convenience Store
7-Eleven,38.9808721785789,-77.398946057092,Convenience Store
Minimart,38.976556833909584,-77.40928552741806,Convenience Store
Odufent Management,38.962819,-77.389762,Convenience Store
High-Up Food Mart,39.015112,-77.378229,Convenience Store
Prime Mart,39.005117999999996,-77.42695,Convenience Store
Bright Star Convenience Store,38.977239,-77.409158,Convenience Store
Swadesh Foods,39.00322667296198,-77.41934022948033,Convenience Store
Sterling Amoco Food Shop / Exxon,38.99138716855539,-77.4252414942068,Convenience Store
Fair Price Halal Meat & Grocery,38.96915753826318,-77.37892352660725,Convenience Store
Dollar Tree,39.01452,-77.3721,Discount Store
Lake Anne Chevron,38.97044801365526,-77.34039236905943,Convenience Store
